Protein ID,GO ID,Function,Link
D6VPM8,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/D6VPM8
P04819,GO:0000278|GO:1903461|GO:0051301|GO:0035753|GO:0005739|GO:0003677|GO:0006310|GO:0006284|GO:0006289|GO:0006266|GO:0006273|GO:0005634|GO:0005524|GO:0003910|GO:0046872|GO:0071897,mitotic cell cycle|Okazaki fragment processing involved in mitotic DNA replication|cell division|maintenance of DNA trinucleotide repeats|mitochondrion|DNA binding|DNA recombination|base-excision repair|nucleotide-excision repair|DNA ligation|lagging strand elongation|nucleus|ATP binding|DNA ligase (ATP) activity|metal ion binding|DNA biosynthetic process,https://www.uniprot.org/uniprotkb/P04819
P05374,GO:0006656|GO:0004608|GO:0005789|GO:0005783|GO:0032259|GO:0071944,phosphatidylcholine biosynthetic process|phosphatidylethanolamine N-methyltransferase activity|endoplasmic reticulum membrane|endoplasmic reticulum|methylation|cell periphery,https://www.uniprot.org/uniprotkb/P05374
P05739,GO:0003723|GO:0003735|GO:0002181|GO:0005829|GO:0022625,RNA binding|structural constituent of ribosome|cytoplasmic translation|cytosol|cytosolic large ribosomal subunit,https://www.uniprot.org/uniprotkb/P05739
P06787,GO:0006606|GO:0006661|GO:0000742|GO:0048306|GO:0006897|GO:0006898|GO:0016237|GO:0051286|GO:0051019|GO:0043332|GO:0031475|GO:0051300|GO:0045160|GO:1903525|GO:0000131|GO:0042144|GO:0030479|GO:0030050|GO:0005823|GO:0005509|GO:0030234|GO:0005934|GO:0005933|GO:0005935|GO:2000601|GO:0007010|GO:0007114|GO:0071474|GO:0010968,"protein import into nucleus|phosphatidylinositol biosynthetic process|karyogamy involved in conjugation with cellular fusion|calcium-dependent protein binding|endocytosis|receptor-mediated endocytosis|microautophagy|cell tip|mitogen-activated protein kinase binding|mating projection tip|myosin V complex|spindle pole body organization|myosin I complex|regulation of membrane tubulation|incipient cellular bud site|vacuole fusion, non-autophagic|actin cortical patch|vesicle transport along actin filament|central plaque of spindle pole body|calcium ion binding|enzyme regulator activity|cellular bud tip|cellular bud|cellular bud neck|positive regulation of Arp2/3 complex-mediated actin nucleation|cytoskeleton organization|cell budding|cellular hyperosmotic response|regulation of microtubule nucleation",https://www.uniprot.org/uniprotkb/P06787
P09007,GO:0043565|GO:0008270|GO:0005737|GO:0006364|GO:0006355|GO:0005634,sequence-specific DNA binding|zinc ion binding|cytoplasm|rRNA processing|regulation of DNA-templated transcription|nucleus,https://www.uniprot.org/uniprotkb/P09007
P09032,GO:0003743|GO:0002183|GO:0006446|GO:1903574|GO:0005851|GO:0005829|GO:0032045,translation initiation factor activity|cytoplasmic translational initiation|regulation of translational initiation|negative regulation of cellular response to amino acid starvation|eukaryotic translation initiation factor 2B complex|cytosol|guanyl-nucleotide exchange factor complex,https://www.uniprot.org/uniprotkb/P09032
P0CS90,GO:0001405|GO:0006886|GO:0016226|GO:0043335|GO:1905347|GO:0051085|GO:0051082|GO:0000018|GO:0016887|GO:0070130|GO:0050821|GO:0030150|GO:0005744|GO:0005743|GO:0005737|GO:0005739|GO:0042645|GO:0042026|GO:0140662|GO:0033617|GO:0008566|GO:0005524|GO:0030234|GO:0031072|GO:0032042|GO:0044183,"PAM complex, Tim23 associated import motor|intracellular protein transport|iron-sulfur cluster assembly|protein unfolding|endodeoxyribonuclease complex|chaperone cofactor-dependent protein refolding|unfolded protein binding|regulation of DNA recombination|ATP hydrolysis activity|negative regulation of mitochondrial translation|protein stabilization|protein import into mitochondrial matrix|TIM23 mitochondrial import inner membrane translocase complex|mitochondrial inner membrane|cytoplasm|mitochondrion|mitochondrial nucleoid|protein refolding|ATP-dependent protein folding chaperone|mitochondrial cytochrome c oxidase assembly|mitochondrial protein-transporting ATPase activity|ATP binding|enzyme regulator activity|heat shock protein binding|mitochondrial DNA metabolic process|protein folding chaperone",https://www.uniprot.org/uniprotkb/P0CS90
P0CX33,GO:0003735|GO:0002181|GO:0005829|GO:0022627|GO:0010494,structural constituent of ribosome|cytoplasmic translation|cytosol|cytosolic small ribosomal subunit|cytoplasmic stress granule,https://www.uniprot.org/uniprotkb/P0CX33
P0CX80,GO:0010273|GO:0016209|GO:0004784|GO:0005829|GO:0005507|GO:0046688|GO:0071585|GO:0046870|GO:0019430,detoxification of copper ion|antioxidant activity|superoxide dismutase activity|cytosol|copper ion binding|response to copper ion|detoxification of cadmium ion|cadmium ion binding|removal of superoxide radicals,https://www.uniprot.org/uniprotkb/P0CX80
P11747,GO:0051123|GO:0045944|GO:0006366|GO:0005634|GO:0005669|GO:0046982,RNA polymerase II preinitiation complex assembly|positive regulation of transcription by RNA polymerase II|transcription by RNA polymerase II|nucleus|transcription factor TFIID complex|protein heterodimerization activity,https://www.uniprot.org/uniprotkb/P11747
P13393,GO:0061629|GO:0097718|GO:0001179|GO:0001188|GO:0000979|GO:0016251|GO:0051123|GO:0008301|GO:0000126|GO:0042790|GO:0003682|GO:0001016|GO:0001092|GO:0045944|GO:0006352|GO:0006359|GO:0045892|GO:0005634|GO:0005672|GO:0005667|GO:0005669|GO:0005654|GO:0070898|GO:0032991|GO:0140297,"RNA polymerase II-specific DNA-binding transcription factor binding|disordered domain specific binding|RNA polymerase I general transcription initiation factor binding|RNA polymerase I preinitiation complex assembly|RNA polymerase II core promoter sequence-specific DNA binding|RNA polymerase II general transcription initiation factor activity|RNA polymerase II preinitiation complex assembly|DNA binding, bending|transcription factor TFIIIB complex|nucleolar large rRNA transcription by RNA polymerase I|chromatin binding|RNA polymerase III transcription regulatory region sequence-specific DNA binding|TFIIA-class transcription factor complex binding|positive regulation of transcription by RNA polymerase II|DNA-templated transcription initiation|regulation of transcription by RNA polymerase III|negative regulation of DNA-templated transcription|nucleus|transcription factor TFIIA complex|transcription regulator complex|transcription factor TFIID complex|nucleoplasm|RNA polymerase III preinitiation complex assembly|protein-containing complex|DNA-binding transcription factor binding",https://www.uniprot.org/uniprotkb/P13393
P18239,GO:0016020|GO:0015886|GO:0015867|GO:0015866|GO:0009061|GO:0009060|GO:1990544|GO:0006839|GO:0006915|GO:0005743|GO:0005739|GO:0005778|GO:0042626|GO:0005471|GO:0055085|GO:0140021,membrane|heme transport|ATP transport|ADP transport|anaerobic respiration|aerobic respiration|mitochondrial ATP transmembrane transport|mitochondrial transport|apoptotic process|mitochondrial inner membrane|mitochondrion|peroxisomal membrane|ATPase-coupled transmembrane transporter activity|ATP:ADP antiporter activity|transmembrane transport|mitochondrial ADP transmembrane transport,https://www.uniprot.org/uniprotkb/P18239
P18494,GO:0043565|GO:0003700|GO:0000978|GO:0000981|GO:0008270|GO:0000122|GO:0042128|GO:0001080|GO:0045944|GO:0005634|GO:0005829,"sequence-specific DNA binding|DNA-binding transcription factor activity|RNA polymerase II cis-regulatory region sequence-specific DNA binding|DNA-binding transcription factor activity, RNA polymerase II-specific|zinc ion binding|negative regulation of transcription by RNA polymerase II|nitrate assimilation|nitrogen catabolite activation of transcription from RNA polymerase II promoter|positive regulation of transcription by RNA polymerase II|nucleus|cytosol",https://www.uniprot.org/uniprotkb/P18494
P20424,GO:0006616|GO:0006614|GO:0006617|GO:0016887|GO:0008312|GO:0005783|GO:0005786|GO:0030942|GO:0005096|GO:0005829|GO:0005525|GO:0003924,"SRP-dependent cotranslational protein targeting to membrane, translocation|SRP-dependent cotranslational protein targeting to membrane|SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition|ATP hydrolysis activity|7S RNA binding|endoplasmic reticulum|signal recognition particle, endoplasmic reticulum targeting|endoplasmic reticulum signal peptide binding|GTPase activator activity|cytosol|GTP binding|GTPase activity",https://www.uniprot.org/uniprotkb/P20424
